query_index,query_id,query_text,positive_doc_ids,positive_profile_ids,q1,q2,q3,q4
0,query_0,Who likes Joshua Trees?,0|1,Geneva Durben|Dorathea Bastress,-0.6516273463061822,-1.0,-0.681935594971586,-0.17435853280523506
20,query_20,Who likes Glaciers?,0|21,Geneva Durben|Sheree Riddley,-0.06666666666666665,-0.5958333333333333,-1.0,-0.46875
40,query_40,Who likes Parakeets?,0|41,Geneva Durben|Elam Mejiamejia,0.18126148193508884,1.0,-0.22045315370483778,-0.6200244947948561
61,query_61,Who likes Xylophones?,1|18,Dorathea Bastress|Georgette Cagna,-0.19111111111111106,-0.7431623931623931,-1.0,-0.4326923076923077
81,query_81,Who likes Cobras?,1|38,Dorathea Bastress|Darwyn Raio,0.2818926777689665,1.0,-0.4282315622521809,-0.8029341792228389
101,query_101,Who likes Sea Lions?,2|15,Armand Schweda|Amaris Grow,-0.30370370370370364,-0.8662698412698413,-1.0,-0.4017857142857143
122,query_122,Who likes Armadillos?,2|36,Armand Schweda|Eustace Comment,0.3401481481481481,0.9965432098765434,-0.622222222222222,-1.0
142,query_142,Who likes Horseshoe Crabs?,3|14,Flor Lemaire|Jerrod Dumpit,-0.3274074074074074,-0.8853174603174604,-1.0,-0.4017857142857143
163,query_163,Who likes Affection?,3|35,Flor Lemaire|Cristy Walford,0.29958847736625516,0.866172839506173,-0.6222222222222222,-1.0
183,query_183,Who likes Ham?,4|14,Pate Lindley|Jerrod Dumpit,-0.3106172839506173,-0.8588477366255143,-1.0,-0.4166666666666667
203,query_203,Who likes Spades?,4|34,Pate Lindley|Chaney Gertman,0.26148696844993136,0.7437037037037035,-0.6222222222222222,-1.0
224,query_224,Who likes Bushcraft?,5|15,Shelvia Goike|Amaris Grow,-0.2592592592592592,-0.7888888888888888,-1.0,-0.44999999999999996
244,query_244,Who likes Metalworking?,5|35,Shelvia Goike|Cristy Walford,0.19204389574759945,0.8148148148148149,-0.4444444444444444,-1.0
265,query_265,Who likes Fugues?,6|17,Ovid Rahm|Wellington Hinn,-0.17925925925925928,-0.6722222222222223,-1.0,-0.5113636363636364
285,query_285,Who likes Acrylic Painting?,6|37,Ovid Rahm|Terrell Varadarajan,0.08401646090534973,0.9372839506172843,-0.1777777777777776,-1.0
305,query_305,Who likes The Scent of a Campfire?,7|19,Bronson Saelee|Laurine Bellizzi,-0.10716049382716049,-0.5491228070175439,-1.0,-0.5921052631578947
326,query_326,Who likes Angel Food Cakes?,7|40,Bronson Saelee|Jacey Gnatek,-0.08954915918704233,1.0,0.16713091922005593,-0.9401114206128133
346,query_346,Who likes Pocket Watches?,8|23,Gladstone Oonk|Casimiro Steo,0.014320987654321079,-0.28809523809523785,-1.0,-0.8035714285714288
366,query_366,Who likes International Relations?,8|43,Gladstone Oonk|Aliza Uhlrich,-0.28385556550283525,1.0,0.48343777976723407,-0.9064458370635633
387,query_387,Who likes Poetry Writing?,9|28,Ofelia Rosselot|Jerrie Roupe,0.10429629629629629,0.1669135802469136,-0.711111111111111,-1.0
